Table
GFNorte - Balance General (Millones de Pesos) ,1T20 ,2T20 ,3T20 ,4T20 ,1T21 ,2T21 
Obligaciones en operaciones de bursatilización ,- ,- ,- ,- ,- ,- 
Cuentas por pagar a Reaseguradores y Reafianzadores (Neto) ,"2,311 ","3,159 ","2,918 ","2,269 ","3,145 ","2,790 "
Impuestos a la Utilidad por pagar ,"3,538 ","2,718 ","3,521 ","4,365 ","1,895 ","1,660 "
Participación de los trabajadores en la utili. ,639 ,280 ,407 ,538 ,187 ,297 
Aport. para futuros aumentos de capital ,,,,,,
pendientes de formalizar por su órgano de ,- ,- ,- ,- ,- ,- 
gobierno ,,,,,,
Acreedores por liquidación de operaciones ,"31,188 ","4,621 ","11,182 ","4,892 ","4,020 ","8,282 "
Acreedores por cuentas de margen ,- ,- ,- ,- ,- ,- 
Acreedores Diver. y otras ctas. p/pagar ,"46,614 ","44,126 ","50,021 ","42,775 ","43,030 ","42,812 "
Otras cuentas por pagar ,"81,979 ","51,745 ","65,131 ","52,570 ","49,132 ","53,051 "
Obligaciones subordinadas en circulación ,"58,423 ","57,321 ","66,241 ","57,152 ","58,759 ","57,243 "
Impuestos diferidos (Neto) ,(0) ,0 ,897 ,"1,618 ","1,139 ","2,242 "
Créditos diferidos y Cobros Anticipados ,382 ,462 ,430 ,"1,411 ","1,346 ","1,260 "
TOTAL PASIVOS ,"1,531,790 ","1,575,237 ","1,577,935 ","1,562,801 ","1,580,066 ","1,573,041 "
CAPITAL ,,,,,,
Capital Social ,"14,944 ","14,901 ","14,901 ","14,919 ","14,936 ","14,936 "
Aport. para futuros aumentos de capital pendientes ,- ,- ,- ,- ,- ,- 
de formalizar por su órgano de gobierno ,,,,,,
Prima en venta de acciones ,"48,091 ","48,316 ","48,509 ","48,269 ","47,863 ","48,283 "
Obligaciones subordinadas en circulación ,- ,- ,- ,- ,- ,- 
Capital contribuido ,"63,034 ","63,217 ","63,410 ","63,188 ","62,799 ","63,219 "
Reservas de capital ,"5,418 ","8,746 ","8,753 ","9,215 ","9,719 ","8,415 "
Resultado de ejercicios anteriores ,"125,934 ","120,910 ","119,734 ","118,773 ","148,359 ","139,558 "
Res. por valuación de títulos disponibles para la venta ,"(2,851) ",574 ,"1,771 ","3,801 ","2,199 ","2,615 "
Res. por valuación de instrumentos de cobertura de flujos de efectivo ,"(3,895) ","(1,398) ","(1,677) ",(887) ,"(2,214) ","(2,451) "
Resultado en la valuación de la reserva de riesgo en curso por variaciones en las tasas ,1 ,(184) ,(190) ,(231) ,(110) ,(103) 
Efecto acumulado por conversión ,348 ,326 ,269 ,134 ,166 ,132 
Remediciones por beneficios definidos a los empleados ,"(1,894) ","(1,927) ","(1,960) ","(2,259) ","(2,229) ","(2,199) "
Exceso (insuf.) en la actualiz. del Cap. Cont. ,- ,- ,- ,- ,- ,- 
Ajustes por obligaciones laborales al retiro Efecto acumulado de impuesto diferido ,- ,- ,- ,- ,- ,- 
Resultado neto ,"9,118 ","15,636 ","24,542 ","30,508 ","8,544 ","17,112 "
Capital Ganado ,"132,179 ","142,684 ","151,242 ","159,053 ","164,434 ","163,079 "
Participación no controladora ,"2,277 ","2,443 ","2,719 ","2,862 ","2,908 ","3,025 "
Total Capital Contable ,"197,490 ","208,344 ","217,371 ","225,103 ","230,142 ","229,322 "
TOTAL PASIVOS Y CAPITAL ,"1,729,280 ","1,783,581 ","1,795,306 ","1,787,904 ","1,810,207 ","1,802,363 "


